RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RegionFullName
14933,2859,Avon Lake,city,OH,OH,"Cleveland-Elyria, OH",Lorain County,Avon Lake.OH
34247,2861,Temperance,city,MI,MI,"Monroe, MI",Monroe County,Temperance.MI
46314,2862,Los Alamitos,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,Los Alamitos.CA
9792,2863,Middleton,city,WI,WI,"Madison, WI",Dane County,Middleton.WI
24367,2864,Denver,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Lincoln County,Denver.NC
17788,2865,Dixon,city,CA,CA,"Vallejo, CA",Solano County,Dixon.CA
53086,2866,Lynden,city,WA,WA,"Bellingham, WA",Whatcom County,Lynden.WA
11057,2867,Debary,city,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,Debary.FL
44415,2868,Camden,city,SC,SC,"Columbia, SC",Kershaw County,Camden.SC
7026,2869,Shafter,city,CA,CA,"Bakersfield, CA",Kern County,Shafter.CA
32209,2870,Jasper,city,IN,IN,"Jasper, IN",Dubois County,Jasper.IN
36236,2871,Stephens City,city,VA,VA,"Winchester, VA-WV",Frederick County,Stephens City.VA
31780,2872,Gloversville,city,NY,NY,"Gloversville, NY",Fulton County,Gloversville.NY
12125,2873,Jerome,city,ID,ID,"Twin Falls, ID",Jerome County,Jerome.ID
32461,2874,Lebanon,city,IN,IN,"Indianapolis-Carmel-Anderson, IN",Boone County,Lebanon.IN
8165,2875,Chardon,city,OH,OH,"Cleveland-Elyria, OH",Geauga County,Chardon.OH
4380,2875,Dixon,city,IL,IL,"Dixon, IL",Lee County,Dixon.IL
17442,2877,Chowchilla,city,CA,CA,"Madera, CA",Madera County,Chowchilla.CA
10393,2878,Biddeford,city,ME,ME,"Portland-South Portland, ME",York County,Biddeford.ME
20417,2879,Semmes,city,AL,AL,"Mobile, AL",Mobile County,Semmes.AL
30612,2880,Brookhaven,city,MS,MS,"Brookhaven, MS",Lincoln County,Brookhaven.MS
24148,2881,Cohoes,city,NY,NY,"Albany-Schenectady-Troy, NY",Albany County,Cohoes.NY
398346,2882,Bourne,city,MA,MA,"Barnstable Town, MA",Barnstable County,Bourne.MA
17479,2883,Clifton Heights,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,Clifton Heights.PA
831333,2884,Batavia,city,NY,NY,"Batavia, NY",Genesee County,Batavia.NY
31894,2885,Guyton,city,GA,GA,"Savannah, GA",Effingham County,Guyton.GA
14847,2886,Central Falls,city,RI,RI,"Providence-Warwick, RI-MA",Providence County,Central Falls.RI
25779,2887,Mason,city,MI,MI,"Lansing-East Lansing, MI",Ingham County,Mason.MI
38731,2888,Golden Valley,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,Golden Valley.MN
49419,2889,Princeton,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,Princeton.TX
396721,2890,Oxford,city,MI,MI,"Detroit-Warren-Dearborn, MI",Oakland County,Oxford.MI
56048,2891,Harrisburg,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,Harrisburg.NC
11677,2892,Granite Bay,city,CA,CA,"Sacramento-Roseville-Folsom, CA",Placer County,Granite Bay.CA
50774,2893,Arvin,city,CA,CA,"Bakersfield, CA",Kern County,Arvin.CA
37633,2894,Bryn Mawr,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,Bryn Mawr.PA
18164,2895,Fort Payne,city,AL,AL,"Fort Payne, AL",De Kalb County,Fort Payne.AL
7462,2896,Travelers Rest,city,SC,SC,"Greenville-Anderson, SC",Greenville County,Travelers Rest.SC
13257,2897,Perry,city,GA,GA,"Warner Robins, GA",Houston County,Perry.GA
16760,2898,American Canyon,city,CA,CA,"Napa, CA",Napa County,American Canyon.CA
